signup_date,day_7_retention
2024-05-01,6.0
2024-05-02,7.0
2024-05-03,8.0
2024-05-04,15.0
2024-05-05,8.0
2024-05-06,12.0
2024-05-07,12.0
2024-05-08,10.0
2024-05-09,10.0
2024-05-10,10.0
2024-05-11,12.0
2024-05-12,8.0
2024-05-13,9.0
2024-05-14,7.0
2024-05-15,7.0
2024-05-16,9.0
2024-05-17,14.0
2024-05-18,13.0
2024-05-19,12.0
2024-05-20,10.0
2024-05-21,12.0
2024-05-22,9.0
2024-05-23,8.0
2024-05-24,13.0
2024-05-25,15.0
2024-05-26,17.0
2024-05-27,13.0
2024-05-28,13.0
2024-05-29,8.0
2024-05-30,12.0
2024-05-31,7.0
