nearest_places_id,post_id,place_id
1,1,ChIJ12d3ZlmYpBIRStDXELkkdJE
2,1,ChIJNbGKpPyipBIRWOE2AiC82hc
3,1,ChIJC6CEtf2ipBIRkFQaF95uL1Q
4,1,ChIJeYwrA_uipBIRtLLknGLSRQA
5,2,ChIJBTfBbwCjpBIRK-jjm940utc
6,2,ChIJa-K8mf6ipBIRY8wAB3EeASc
7,2,ChIJC6CEtf2ipBIRkFQaF95uL1Q
8,2,ChIJveK7vP6ipBIRiegu-jsxGX8
9,3,ChIJMSlpOfGipBIRf5cyHKdpsHg
10,3,ChIJ4aTqxfaipBIRi9Kz759j6GI
11,3,ChIJ7z9uFveipBIRzDCxOaCzzSU
12,3,ChIJfx2I8vaipBIR2bIdtf-roQE
13,4,ChIJ12d3ZlmYpBIRStDXELkkdJE
14,4,ChIJNbGKpPyipBIRWOE2AiC82hc
15,4,ChIJC6CEtf2ipBIRkFQaF95uL1Q
16,4,ChIJeYwrA_uipBIRtLLknGLSRQA
17,5,ChIJ12d3ZlmYpBIRStDXELkkdJE
18,5,ChIJNbGKpPyipBIRWOE2AiC82hc
19,5,ChIJC6CEtf2ipBIRkFQaF95uL1Q
20,5,ChIJeYwrA_uipBIRtLLknGLSRQA
21,6,ChIJ12d3ZlmYpBIRStDXELkkdJE
22,6,ChIJNbGKpPyipBIRWOE2AiC82hc
23,6,ChIJC6CEtf2ipBIRkFQaF95uL1Q
24,6,ChIJeYwrA_uipBIRtLLknGLSRQA
25,7,ChIJ8Xo6PvSYpBIRL-dJTf5d_Ws
26,7,ChIJ7SJqF16YpBIREBCq47mBUEE
27,7,ChIJsdwp5lyYpBIRhBBtKFR6HSM
28,7,ChIJm0a9ZICipBIR7ZTc9Z5nhRs
29,8,ChIJmcQFU8mjpBIRlChkxov5sC0
30,8,ChIJM5FFbvKipBIRdWugDh577Ao
31,8,ChIJzyCpuvOipBIR81q13eFJsyw
32,8,ChIJbf9sA-yipBIRBsaWQtiGMLs
33,9,ChIJD68YoJWipBIRWzQhzWcsALI
34,9,ChIJ1eGKmZOipBIRah43T2Kjn8Q
35,9,ChIJKf2c45mipBIRVnRr1lyRhRo
36,9,ChIJPxzK0pmipBIR6RILH9uL_zo
37,10,ChIJWxm_GPOipBIRYYt8fBKUWRI
38,10,ChIJzyCpuvOipBIR81q13eFJsyw
39,10,ChIJM5FFbvKipBIRdWugDh577Ao
40,10,ChIJ5XvzpJKipBIRrTCSZXbotTo
41,11,ChIJJVQ6VneipBIRIV6uqvMfBI0
42,11,ChIJJ2JbaneipBIRpVQ6RTJSwLA
43,11,ChIJDwChfMujpBIRLwxQ13Y-1Uw
44,11,ChIJMStor32ipBIRRP9xCurvX40
45,12,ChIJNbGKpPyipBIRWOE2AiC82hc
46,12,ChIJeYwrA_uipBIRtLLknGLSRQA
47,12,ChIJmcQFU8mjpBIRlChkxov5sC0
48,12,ChIJbf9sA-yipBIRBsaWQtiGMLs
49,13,ChIJ0V6MrPWipBIRKnssXv0o_Y4
50,13,ChIJLcC0-PSipBIRdHiFCj_ewdY
51,13,ChIJN4zPLvSipBIRnANNEEwB15Q
52,13,ChIJfx2I8vaipBIR2bIdtf-roQE
53,14,ChIJzyCpuvOipBIR81q13eFJsyw
54,14,ChIJMSlpOfGipBIRf5cyHKdpsHg
55,14,ChIJ4aTqxfaipBIRi9Kz759j6GI
56,14,ChIJWxm_GPOipBIRYYt8fBKUWRI
57,15,ChIJWXpb8PeipBIR9qHIBx1PV4U
58,15,ChIJb7gUzfmipBIRIoiMb8GScM0
59,15,ChIJc0WMe_GipBIRJiU_pUq_bRc
60,15,ChIJDQeJ-PiipBIRRKhLu4wgf-U
61,16,ChIJo1yu-Z-ipBIR3Jjf3Xwwh_Y
62,16,ChIJGVXrGlWZpBIR62E9FHV7VTA
63,16,ChIJPxzK0pmipBIR6RILH9uL_zo
64,16,ChIJ-fL3djWjpBIRxYwgD2lXsgw
65,17,ChIJo1yu-Z-ipBIR3Jjf3Xwwh_Y
66,17,ChIJGVXrGlWZpBIR62E9FHV7VTA
67,17,ChIJPxzK0pmipBIR6RILH9uL_zo
68,17,ChIJ-fL3djWjpBIRxYwgD2lXsgw
69,18,ChIJo1yu-Z-ipBIR3Jjf3Xwwh_Y
70,18,ChIJGVXrGlWZpBIR62E9FHV7VTA
71,18,ChIJPxzK0pmipBIR6RILH9uL_zo
72,18,ChIJ-fL3djWjpBIRxYwgD2lXsgw
73,19,ChIJo1yu-Z-ipBIR3Jjf3Xwwh_Y
