postID,userID,activityID,page,user_activity_timestamp,recommendationID,nearPlaceID,placeID,eventID,engagementType,engagement_timestamp
101,user4,Comment,Profile Page,2024-05-02T19:50:00.000+02:00,rec74,np150,place103,event140,Save,2024-05-02T12:14:41.000+02:00
101,user4,Comment,Profile Page,2024-05-04T03:04:00.000+02:00,rec74,np150,place103,event8,Save,2024-05-02T12:14:41.000+02:00
101,user2,Post Creation,Profile Page,2024-05-05T11:12:00.000+02:00,rec92,np150,place103,event140,Save,2024-05-02T12:14:41.000+02:00
101,user2,Profile Update,Settings,2024-05-05T13:11:00.000+02:00,rec92,np150,place103,event487,Share,2024-05-02T12:14:41.000+02:00
101,user4,Share,Profile Page,2024-05-06T22:10:00.000+02:00,rec74,np150,place103,event296,Like,2024-05-02T12:14:41.000+02:00
101,user2,Share,Profile Page,2024-05-06T22:41:00.000+02:00,rec92,np150,place103,event161,Share,2024-05-02T12:14:41.000+02:00
101,user4,Like/Reaction,Profile Page,2024-05-07T03:31:00.000+02:00,rec74,np150,place103,event24,Like,2024-05-02T12:14:41.000+02:00
101,user2,Share,Profile Page,2024-05-08T01:01:00.000+02:00,rec92,np150,place103,event433,Share,2024-05-02T12:14:41.000+02:00
101,user2,Comment,Profile Page,2024-05-08T01:24:00.000+02:00,rec92,np150,place103,event360,Save,2024-05-02T12:14:41.000+02:00
101,user4,Notification Interaction,Notifications,2024-05-08T23:06:00.000+02:00,rec74,np150,place103,event351,Save,2024-05-02T12:14:41.000+02:00
101,user2,Follow/Unfollow,Profile Page,2024-05-09T09:13:00.000+02:00,rec92,np150,place103,event284,Like,2024-05-02T12:14:41.000+02:00
101,user4,Follow/Unfollow,Profile Page,2024-05-09T22:08:00.000+02:00,rec74,np150,place103,event437,Share,2024-05-02T12:14:41.000+02:00
101,user2,Profile Update,Settings,2024-05-09T22:18:00.000+02:00,rec92,np150,place103,event121,Share,2024-05-02T12:14:41.000+02:00
101,user4,Post Creation,Profile Page,2024-05-10T00:38:00.000+02:00,rec74,np150,place103,event42,Save,2024-05-02T12:14:41.000+02:00
101,user2,Login,Home,2024-05-11T18:00:00.000+02:00,rec92,np150,place103,event303,Share,2024-05-02T12:14:41.000+02:00
101,user4,Access Page,Marketplace,2024-05-11T18:20:00.000+02:00,rec74,np150,place103,event453,Share,2024-05-02T12:14:41.000+02:00
101,user4,Profile Update,Settings,2024-05-12T03:57:00.000+02:00,rec74,np150,place103,event83,Like,2024-05-02T12:14:41.000+02:00
101,user2,Share,Profile Page,2024-05-13T13:48:00.000+02:00,rec92,np150,place103,event231,Save,2024-05-02T12:14:41.000+02:00
101,user2,Share,Profile Page,2024-05-14T10:55:00.000+02:00,rec92,np150,place103,event362,Share,2024-05-02T12:14:41.000+02:00
101,user4,Profile Update,Settings,2024-05-14T13:33:00.000+02:00,rec74,np150,place103,event148,Save,2024-05-02T12:14:41.000+02:00
101,user4,Post Creation,Profile Page,2024-05-14T18:50:00.000+02:00,rec74,np150,place103,event220,Share,2024-05-02T12:14:41.000+02:00
101,user4,Notification Interaction,Notifications,2024-05-15T14:23:00.000+02:00,rec74,np150,place103,event130,Share,2024-05-02T12:14:41.000+02:00
101,user2,Comment,Profile Page,2024-05-18T00:04:00.000+02:00,rec92,np150,place103,event109,Save,2024-05-02T12:14:41.000+02:00
101,user2,Login,Home,2024-05-18T16:12:00.000+02:00,rec92,np150,place103,event388,Share,2024-05-02T12:14:41.000+02:00
101,user2,Share,Profile Page,2024-05-18T17:42:00.000+02:00,rec92,np150,place103,event404,Like,2024-05-02T12:14:41.000+02:00
101,user2,Profile Update,Settings,2024-05-18T22:29:00.000+02:00,rec92,np150,place103,event40,Like,2024-05-02T12:14:41.000+02:00
101,user4,Notification Interaction,Notifications,2024-05-19T01:36:00.000+02:00,rec74,np150,place103,event460,Like,2024-05-02T12:14:41.000+02:00
101,user2,Comment,Profile Page,2024-05-19T02:25:00.000+02:00,rec92,np150,place103,event237,Share,2024-05-02T12:14:41.000+02:00
101,user4,Like/Reaction,Profile Page,2024-05-19T03:44:00.000+02:00,rec74,np150,place103,event208,Save,2024-05-02T12:14:41.000+02:00
101,user2,Comment,Profile Page,2024-05-19T21:00:00.000+02:00,rec92,np150,place103,event28,Share,2024-05-02T12:14:41.000+02:00
101,user4,Follow/Unfollow,Profile Page,2024-05-20T01:16:00.000+02:00,rec74,np150,place103,event45,Like,2024-05-02T12:14:41.000+02:00
101,user2,Profile Update,Settings,2024-05-20T10:24:00.000+02:00,rec92,np150,place103,event224,Share,2024-05-02T12:14:41.000+02:00
101,user4,Login,Home,2024-05-20T13:16:00.000+02:00,rec74,np150,place103,event486,Share,2024-05-02T12:14:41.000+02:00
101,user2,Search,Dashboard,2024-05-20T15:18:00.000+02:00,rec92,np150,place103,event374,Save,2024-05-02T12:14:41.000+02:00
101,user4,Notification Interaction,Notifications,2024-05-21T04:44:00.000+02:00,rec74,np150,place103,event371,Save,2024-05-02T12:14:41.000+02:00
101,user4,Notification Interaction,Notifications,2024-05-21T16:23:00.000+02:00,rec74,np150,place103,event500,Share,2024-05-02T12:14:41.000+02:00
101,user2,Follow/Unfollow,Profile Page,2024-05-21T22:50:00.000+02:00,rec92,np150,place103,event76,Like,2024-05-02T12:14:41.000+02:00
101,user2,Post Creation,Profile Page,2024-05-24T07:01:00.000+02:00,rec92,np150,place103,event445,Like,2024-05-02T12:14:41.000+02:00
101,user4,Search,Dashboard,2024-05-24T10:13:00.000+02:00,rec74,np150,place103,event470,Like,2024-05-02T12:14:41.000+02:00
101,user4,Search,Dashboard,2024-05-24T12:34:00.000+02:00,rec74,np150,place103,event110,Share,2024-05-02T12:14:41.000+02:00
101,user2,Login,Home,2024-05-26T06:50:00.000+02:00,rec92,np150,place103,event391,Save,2024-05-02T12:14:41.000+02:00
101,user4,Share,Profile Page,2024-05-26T09:45:00.000+02:00,rec74,np150,place103,event131,Like,2024-05-02T12:14:41.000+02:00
101,user4,Login,Home,2024-05-26T15:11:00.000+02:00,rec74,np150,place103,event356,Save,2024-05-02T12:14:41.000+02:00
101,user4,Access Page,Profile Page,2024-05-26T22:05:00.000+02:00,rec74,np150,place103,event343,Save,2024-05-02T12:14:41.000+02:00
