postID,userID,activityID,page,user_activity_timestamp,recommendationID,nearPlaceID,placeID,eventID,engagementType,engagement_timestamp
469,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec63,,,,,
365,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec75,np133,place129,,,
365,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec75,np7,place72,,,
365,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec75,np181,place182,,,
365,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec75,np62,place90,,,
124,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec87,np357,place50,,,
124,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec87,np153,place171,,,
355,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec31,,,,,
105,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec25,np280,place191,event435,Share,2024-05-20T06:31:02.000+02:00
144,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec44,,,,,
136,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec43,,,event299,Like,2024-05-17T17:51:13.000+02:00
136,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec43,,,event339,Like,2024-05-14T14:48:54.000+02:00
297,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec90,np25,place125,,,
297,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec90,np61,place192,,,
368,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec63,np385,place43,,,
368,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec63,np76,place5,,,
377,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec48,np69,place133,,,
254,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec8,np373,place2,,,
254,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec8,np71,place165,,,
489,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec26,np358,place32,,,
304,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec6,,,,,
396,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec29,np346,place145,,,
396,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec29,np55,place22,,,
332,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec70,np121,place134,,,
332,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec70,np388,place152,,,
332,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec70,np81,place85,,,
324,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec34,np116,place43,,,
346,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec87,np282,place143,,,
348,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec89,np63,place126,,,
348,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec89,np315,place86,,,
331,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec68,np45,place141,,,
331,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec68,np14,place16,,,
473,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec43,np191,place139,,,
473,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec43,np243,place88,,,
255,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec19,,,,,
220,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec58,,,,,
401,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec41,np290,place90,,,
401,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec41,np188,place6,,,
480,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec16,np365,place63,,,
153,user20,Comment,Profile Page,2024-05-01T00:06:00.000+02:00,rec95,np273,place32,event121,Share,2024-05-12T14:08:56.000+02:00
174,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec2,np75,place26,,,
298,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec81,np185,place159,,,
424,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec51,np2,place84,,,
424,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec51,np78,place38,,,
474,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec96,np306,place175,,,
232,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec56,np14,place124,,,
232,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec56,np56,place44,,,
232,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec56,np147,place183,,,
232,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec56,np110,place166,,,
234,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec1,np37,place177,,,
234,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec1,np322,place27,,,
244,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec64,,,,,
236,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec76,np238,place50,,,
236,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec76,np234,place156,,,
236,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec76,np56,place54,,,
153,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec99,np273,place32,,,
216,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec14,,,,,
480,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec71,np365,place63,,,
485,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec91,np153,place125,,,
485,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec91,np255,place12,,,
450,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec72,np295,place99,,,
227,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec17,np317,place145,,,
467,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec27,np89,place111,,,
165,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec64,np174,place87,,,
458,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec90,,,,,
314,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec4,np19,place106,,,
282,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec69,np198,place103,,,
467,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec90,np89,place111,,,
172,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec74,np294,place84,,,
191,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec13,,,,,
437,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec72,np282,place127,,,
437,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec72,np250,place136,,,
437,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec72,np84,place92,,,
126,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec32,np233,place93,event101,Share,2024-05-08T02:23:13.000+02:00
126,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec32,np216,place162,event101,Share,2024-05-08T02:23:13.000+02:00
130,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec23,np201,place149,,,
237,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec67,np195,place9,,,
237,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec67,np392,place195,,,
237,user17,Access Page,Marketplace,2024-05-01T05:50:00.000+02:00,rec67,np354,place193,,,
230,user12,Follow/Unfollow,Profile Page,2024-05-01T07:39:00.000+02:00,rec40,np109,place101,,,
